#unique key	Ad-Line	for additional search matching	for url title / tooltip	Icon url	q=queryX&u=userX → choose x at random				
#									End necessary to fill up with TAB
#id	title	keywords	description	iconUrl	query1	user1	query2	user2	#
jetwick	Jetwick Twitter Search	solr; wicket	Jetwick Twitter Search	http://a2.twimg.com/profile_images/939144526/jetwick_normal.png		jetwick		jetwick	#
pannous	Pannous GmbH - Enterprise Search	pannous; fast; solr; android chat bot; voice action; android	Pannous GmbH - Enterprise Search	http://a2.twimg.com/profile_images/74242702/African_Daisy_bigger.gif		pannous	pannous		#
kindernothilfe	Kindernothilfe - Helfen Sie jetzt: Mit einer Spende oder Patenschaft.	kinder; kinder in not; pakistan flut; überschwemmung	Kindernothilfe - Helfen Sie jetzt!	http://a0.twimg.com/profile_images/470123432/logoknh-twitter2_normal.jpg		kindernothilfe			#
onelaptopperchild	One Laptop Per Child	100$ laptop; child; children; one laptop per child	One Laptop Per Child	img/OLPC_logo.png	one laptop per child				#
childsoldier	Child Soldier	child soldier; children; child;	Child Soldier	http://a3.twimg.com/profile_images/899865123/logoBW_normal.jpg	child soldier		project ak47		#
brighteyes	Bright Eyes	music	Bright Eyes	img/lifted.jpg	bright eyes				#
wikileaks	Wikileaks	journalism; investigative journalism	Wikileaks	http://a3.twimg.com/profile_images/75414639/WL_Hour_Glass_Bottom_normal.jpg		wikileaks	wikileaks		#
palestine	Palestine	palestina; palestine	Palestine	http://a2.twimg.com/profile_images/53290258/800px-Flag_of_Palestine.square_normal.png	palestine				#
greenpeace	Greenpeace	umwelt,atomkraft,kraftwerk,umweltschutz	Greenpeace Aktuell	http://a1.twimg.com/profile_images/326126833/twitterProfilePhoto_normal.jpg		greenpeace_de			#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
									#
